*Elbow	Velocity	63	125	250	500	1000	2000	4000	8000
Vanes	15		50.5	52.5	53.5	52	51	45	40
Vanes	20		62.5	63	63	62	62	58	52.5
Vanes	30		72	71	72	72	72.5	70	66
No Vanes	10		59	50	46.5	43.5	47	46	43.5
No Vanes	17.5		72	63	57	55	56	56.5	55.5
No Vanes	20		78	68	62	58.5	61.5	61	60
No Vanes	25		84.5	77	70.5	66	66.5	66	66
*Damper									
	3.5	52.5	52	44	43.5	43	42	40	30
	5.5	54.5	54	50	51	50.5	50	47.5	43
	8.75	61	61	60	61.5	61.5	59	56	53.5
	11	70	68	66	66.5	66	65.5	62	56
	14.5	79	78.5	72	73	71.5	70	69	61.5
*Transition									
Abrupt	7.5	51.5	51.5	48.5	46	42.5	41	34.5	32
Abrupt	10	61	61	57.5	52.5	51.5	49	45.5	41.5
Abrupt	15	72	72	68	65	62	60	58	55
Abrupt	20	79	79	76	72	70	68.5	69.5	67
Gradual	7.5	53	53	43	38	30	23		
Gradual	15	70.5	70.5	61	52	49	46.5	42	37.5
Gradual	20	79	79	71	59	58.5	58	53	48.5
