*Diameter	Length	63	125	250	500	1000	2000	4000	8000	Brand	Type
150	3	7.5	16	24.8	32.5	34.6	36.3	30	25	Securimax	Unilok FR1 R1
200	3	7.8	17.5	27.5	29.8	32.9	32.1	26.5	22.5	Securimax	Unilok FR1 R1
250	3	8.2	19.5	30.2	27.5	31	27.8	23	20	Securimax	Unilok FR1 R1
300	3	8.5	21.3	32.6	25.8	29.7	24.1	19.6	18.3	Securimax	Unilok FR1 R1
350	3	8.7	23.3	29.5	24.2	28.6	22.6	18	16	Securimax	Unilok FR1 R1
400	3	9	25.8	27.8	22.4	27.3	21.7	16.3	14.4	Securimax	Unilok FR1 R1
150	3	23.3	38.4	42.8	33.5	33.8	35.9	33.5	35	Securimax	Unilok FR1 R1 A1
200	3	21	35.6	38	30.2	31.5	31.5	30	30.5	Securimax	Unilok FR1 R1 A1
250	3	19	33.5	38	30.2	31.5	31.5	30	30.5	Securimax	Unilok FR1 R1 A1
300	3	17.5	31.6	31.8	25	28.1	27.5	25	24	Securimax	Unilok FR1 R1 A1
350	3	16.7	29.7	28.4	23.8	27.3	24.6	19	18	Securimax	Unilok FR1 R1 A1
400	3	16	28.1	26.1	23	26.7	22.5	15	13	Securimax	Unilok FR1 R1 A1
150	3	7	15.5	25	31.5	32.4	37	31.2	25.2	Securimax	Unilok S R1
300	3	8.1	22	33.5	25.5	31	25.9	20.5	17.4	Securimax	Unilok S R1
150	3	21.8	37.9	43.1	365	35.3	38.1	35	34	Securimax	Unilok S R1 A1
300	3	15	30.9	33.1	27.5	31.6	30	23.2	23	Securimax	Unilok S R1 A1
150	1	1	4	9	17	21	24	16	11	Temperzone	
150	2	4	6	12	20	29	35	28	18	Temperzone	
150	3	6	8	17	32	35	39	36	24	Temperzone	
200	1	2	2	9	16	19	24	12	6	Temperzone	
200	2	4	5	15	25	27	33	20	11	Temperzone	
200	3	6	11	20	32	31	37	29	16	Temperzone	
250	1	3	1	4	12	18	22	11	8	Temperzone	
250	2	4	2	9	23	27	33	17	13	Temperzone	
250	3	5	5	14	28	33	40	24	20	Temperzone	
300	1	0	1	5	12	14	17	8	6	Temperzone	
300	2	1	2	8	20	21	26	12	10	Temperzone	
300	3	2	4	12	24	26	32	18	14	Temperzone	
350	1	0	2	6	10	12	14	6	6	Temperzone	
350	2	1	3	11	14	19	22	11	10	Temperzone	
350	3	2	5	15	18	23	28	16	14	Temperzone	
400	1	0	1	3	9	14	14	6	4	Temperzone	
400	2	1	1	6	10	23	22	9	6	Temperzone	
400	3	1	2	9	21	29	28	14	11	Temperzone	
450	1	1	1	4	9	12	14	6	5	Temperzone	
450	2	1	2	8	13	18	18	9	10	Temperzone	
450	3	2	2	10	17	21	25	13	12	Temperzone	
500	1	0	1	2	7	11	9	3	4	Temperzone	
500	2	0	2	4	11	18	16	7	7	Temperzone	
500	3	1	2	8	14	22	20	8	9	Temperzone	
550	1	0	0	3	5	10	7	2	4	Temperzone	
550	2	0	1	7	10	18	14	6	6	Temperzone	
550	3	1	2	13	13	25	18	8	9	Temperzone	
