*Figure 13.1a - Attenuation per metre of unlined duct	width min	width max	63	125	250	500	1k	2k	4k
C	75	200	0.07	0.1	0.1	0.16	0.33	0.33	0.33
C	200	400	0.07	0.1	0.1	0.16	0.23	0.23	0.23
C	400	800	0.07	0.07	0.07	0.1	0.16	0.16	0.16
C	800	1500	0.03	0.03	0.03	0.07	0.07	0.07	0.07
R	75	200	0.16	0.33	0.49	0.33	0.33	0.33	0.33
R	200	400	0.49	0.66	0.49	0.33	0.23	0.23	0.23
R	400	800	0.82	0.66	0.33	0.16	0.16	0.16	0.16
R	800	1500	0.66	0.33	0.16	0.1	0.07	0.07	0.07
*Figure 13.1b - Attenuation of radius bends or mitre bends with large turning vanes	width min	width max	63	125	250	500	1k	2k	4k
B	150	200	-	-	-	-	1	2	3
B	250	400	-	-	-	1	2	3	3
B	500	800	-	-	1	2	3	3	3
B	1000	1500	-	1	2	3	3	3	3
*Figure 13.1c - Attenuation of mitre (90deg) bends	width min	width max	63	125	250	500	1k	2k	4k
Unlined	75	100	-	-	-	-	1	7	7
Unlined	100	150	-	-	-	-	5	8	4
Unlined	150	200	-	-	-	1	7	7	4
Unlined	200	250	-	-	-	5	8	4	3
Unlined	250	300	-	-	1	7	7	4	3
Unlined	300	400	-	-	2	8	5	3	3
Unlined	400	500	-	-	5	8	4	3	3
Unlined	500	600	-	-	6	8	4	3	3
Unlined	600	700	-	1	7	7	4	3	3
Unlined	700	800	-	2	8	5	3	3	3
Unlined	800	900	-	3	8	5	3	3	3
Unlined	900	1000	-	5	8	4	3	3	3
Unlined	1000	1100	1	6	8	4	3	3	3
Unlined	1100	1200	1	7	7	4	3	3	3
Unlined	1200	1300	1	7	7	4	3	3	3
Unlined	1300	1400	2	8	7	3	3	3	3
Unlined	1400	1500	2	8	6	3	3	3	3
Unlined	1500	1600	3	8	5	3	3	3	3
Unlined	1600	1800	5	8	4	3	3	3	3
Unlined	1800	2000	6	8	4	3	3	3	3
*Figure 13.1c - Lined bends	width min	width max	63	125	250	500	1k	2k	4k
Lined	75	100	-	-	-	-	2	13	18
Lined	100	150	-	-	-	1	7	16	18
Lined	150	200	-	-	-	4	13	18	18
Lined	200	250	-	-	1	7	16	18	16
Lined	250	300	-	-	2	11	18	18	17
Lined	300	400	-	-	4	14	18	18	17
Lined	400	500	-	1	5	16	18	16	17
Lined	500	600	-	1	8	17	18	16	17
Lined	600	700	-	2	13	18	18	17	18
Lined	700	800	-	3	14	18	17	16	18
Lined	800	900	-	4	15	18	18	17	18
Lined	900	1000	-	5	16	18	17	17	18
Lined	1000	1100	1	7	17	18	16	17	18
Lined	1100	1200	1	8	17	18	16	17	18
Lined	1200	1300	1	10	17	18	16	18	18
Lined	1300	1400	2	11	18	18	16	18	18
Lined	1400	1500	2	12	18	18	16	18	18
Lined	1500	1600	3	14	18	18	17	18	18
Lined	1600	1800	4	15	18	18	17	18	18
Lined	1800	2000	5	16	18	17	17	18	18
