*Table 1 - Louvres								
Width or Height	63	125	250	500	1k	2k	4k	8k
0.5	2	2.5	3	3.5	4	4.5	4.5	4.5
1	2.5	3	3.5	4	4.5	4.5	4.5	4.5
1.5	3	3.5	4	4.5	4.5	4.5	4.5	4.5
2	3	3.5	4	4.5	4.5	4.5	4.5	4.5
2.5	3.5	4	4.5	4.5	4.5	4.5	4.5	4.5
3.5	3.5	4	4.5	4.5	4.5	4.5	4.5	4.5
4.5	4	4	4.5	4.5	4.5	4.5	4.5	4.5
5.5	4	4.5	4.5	4.5	4.5	4.5	4.5	4.5
6	4	4.5	4.5	4.5	4.5	4.5	4.5	4.5
7.5	4	4.5	4.5	4.5	4.5	4.5	4.5	4.5
9	4.5	4.5	4.5	4.5	4.5	4.5	4.5	4.5
10.5	4.5	4.5	4.5	4.5	4.5	4.5	4.5	4.5
12	4.5	4.5	4.5	4.5	4.5	4.5	4.5	4.5
15	4.5	4.5	4.5	4.5	4.5	4.5	4.5	4.5
*Table 2 - Directivity Angle	theta (degrees)								
0	20	40	60	80	100	120	140	
2	2	1.5	1.5	1	1	0.5	0	
2.5	2.5	2	1.5	1	0.5	0	-1	
3	3	2	1.5	0.5	-0.5	-1.5	-3	
3.5	3	2.5	1	-0.5	-2	-4.5	-7.5	
4	3.5	2.5	1	-2	-6.5	-12	-15	
4.5	4	3	0	-15	-20	-20	-20	
	
