*Model	Length	63	125	250	500	1k	2k	4k	8k	Free Area (%)	Code	Series	Module Width
*Rectangular Tapered													
07A	600	-4	-6	-13	-23	-31	-30	-19	-17	27	RT07A	Fantech RT series	
07B	900	-5	-10	-19	-33	-39	-34	-27	-22	27	RT07B	Fantech RT series	
07C	1200	-6	-13	-24	-40	-43	-38	-33	-26	27	RT07C	Fantech RT series	
07D	1500	-7	-16	-29	-46	-47	-42	-35	-28	27	RT07D	Fantech RT series	
07E	1800	-8	-19	-34	-50	-49	-45	-37	-32	27	RT07E	Fantech RT series	
07F	2100	-10	-23	-40	-50	-49	-46	-43	-41	27	RT07F	Fantech RT series	
07G	2400	-11	-25	-44	-50	-50	-48	-45	-43	27	RT07G	Fantech RT series	
10A	600	-3	-5	-11	-18	-28	-24	-15	-13	33	RT10A	Fantech RT series	
10B	900	-4	-8	-16	-28	-35	-29	-21	-16	33	RT10B	Fantech RT series	
10C	1200	-6	-11	-21	-39	-42	-35	-27	-20	33	RT10C	Fantech RT series	
10D	1500	-6	-13	-25	-43	-44	-39	-31	-21	33	RT10D	Fantech RT series	
10E	1800	-7	-16	-30	-49	-47	-43	-35	-25	33	RT10E	Fantech RT series	
10F	2100	-7	-18	-35	-50	-48	-45	-42	-30	33	RT10F	Fantech RT series	
10G	2400	-8	-20	-39	-50	-50	-50	-44	-32	33	RT10G	Fantech RT series	
12A	600	-2	-5	-10	-13	-24	-23	-11	-9	38	RT12A	Fantech RT series	
12B	900	-4	-8	-15	-27	-33	-26	-18	-14	38	RT12B	Fantech RT series	
12C	1200	-5	-10	-20	-34	-38	-31	-22	-16	38	RT12C	Fantech RT series	
12D	1500	-5	-12	-24	-41	-42	-36	-26	-18	38	RT12D	Fantech RT series	
12E	1800	-6	-14	-29	-45	-45	-40	-31	-20	38	RT12E	Fantech RT series	
12F	2100	-7	-16	-32	-50	-47	-43	-38	-23	38	RT12F	Fantech RT series	
12G	2400	-8	-19	-38	-50	-50	-46	-39	-26	38	RT12G	Fantech RT series	
15A	600	-2	-4	-8	-11	-22	-16	-10	-8	43	RT15A	Fantech RT series	
15B	900	-3	-6	-13	-21	-27	-21	-14	-11	43	RT15B	Fantech RT series	
15C	1200	-4	-8	-18	-31	-34	-27	-18	-13	43	RT15C	Fantech RT series	
15D	1500	-4	-10	-21	-35	-39	-31	-20	-14	43	RT15D	Fantech RT series	
15E	1800	-5	-14	-27	-43	-44	-35	-26	-17	43	RT15E	Fantech RT series	
15F	2100	-6	-15	-29	-47	-46	-41	-33	-19	43	RT15F	Fantech RT series	
15G	2400	-6	-17	-34	-49	-50	-43	-34	-21	43	RT15G	Fantech RT series	
17A	600	-2	-3	-8	-10	-20	-13	-9	-7	47	RT17A	Fantech RT series	
17B	900	-3	-6	-13	-21	-26	-19	-12	-9	47	RT17B	Fantech RT series	
17C	1200	-4	-8	-17	-27	-31	-23	-14	-11	47	RT17C	Fantech RT series	
17D	1500	-4	-10	-20	-33	-36	-27	-17	-12	47	RT17D	Fantech RT series	
