*Model	Length	63	125	250	500	1k	2k	4k	8k	Free Area (%)	Code
*Rectangular Tapered											
07A	600	-4	-6	-13	-23	-31	-30	-19	-17	27	RT07A
07B	900	-5	-10	-19	-33	-39	-34	-27	-22	27	RT07B
07C	1200	-6	-13	-24	-40	-43	-38	-33	-26	27	RT07C
07D	1500	-7	-16	-29	-46	-47	-42	-35	-28	27	RT07D
07E	1800	-8	-19	-34	-50	-49	-45	-37	-32	27	RT07E
07F	2100	-10	-23	-40	-50	-49	-46	-43	-41	27	RT07F
07G	2400	-11	-25	-44	-50	-50	-48	-45	-43	27	RT07G
10A	600	-3	-5	-11	-18	-28	-24	-15	-13	33	RT10A
10B	900	-4	-8	-16	-28	-35	-29	-21	-16	33	RT10B
10C	1200	-6	-11	-21	-39	-42	-35	-27	-20	33	RT10C
10D	1500	-6	-13	-25	-43	-44	-39	-31	-21	33	RT10D
10E	1800	-7	-16	-30	-49	-47	-43	-35	-25	33	RT10E
10F	2100	-7	-18	-35	-50	-48	-45	-42	-30	33	RT10F
10G	2400	-8	-20	-39	-50	-50	-50	-44	-32	33	RT10G
12A	600	-2	-5	-10	-13	-24	-23	-11	-9	38	RT12A
12B	900	-4	-8	-15	-27	-33	-26	-18	-14	38	RT12B
12C	1200	-5	-10	-20	-34	-38	-31	-22	-16	38	RT12C
12D	1500	-5	-12	-24	-41	-42	-36	-26	-18	38	RT12D
12E	1800	-6	-14	-29	-45	-45	-40	-31	-20	38	RT12E
12F	2100	-7	-16	-32	-50	-47	-43	-38	-23	38	RT12F
12G	2400	-8	-19	-38	-50	-50	-46	-39	-26	38	RT12G
15A	600	-2	-4	-8	-11	-22	-16	-10	-8	43	RT15A
15B	900	-3	-6	-13	-21	-27	-21	-14	-11	43	RT15B
15C	1200	-4	-8	-18	-31	-34	-27	-18	-13	43	RT15C
15D	1500	-4	-10	-21	-35	-39	-31	-20	-14	43	RT15D
15E	1800	-5	-14	-27	-43	-44	-35	-26	-17	43	RT15E
15F	2100	-6	-15	-29	-47	-46	-41	-33	-19	43	RT15F
15G	2400	-6	-17	-34	-49	-50	-43	-34	-21	43	RT15G
17A	600	-2	-3	-8	-10	-20	-13	-9	-7	47	RT17A
17B	900	-3	-6	-13	-21	-26	-19	-12	-9	47	RT17B
17C	1200	-4	-8	-17	-27	-31	-23	-14	-11	47	RT17C
17D	1500	-4	-10	-20	-33	-36	-27	-17	-12	47	RT17D
17E	1800	-5	-12	-25	-38	-40	-32	-21	-14	47	RT17E
17F	2100	-5	-14	-28	-44	-44	-37	-24	-14	47	RT17F
17G	2400	-6	-16	-33	-46	-50	-39	-26	-16	47	RT17G
20A	600	-2	-3	-7	-10	-18	-10	-8	-6	50	RT20A
20B	900	-2	-5	-11	-18	-20	-14	-9	-6	50	RT20B
20C	1200	-3	-8	-15	-23	-28	-19	-12	-9	50	RT20C
20D	1500	-4	-9	-18	-28	-33	-22	-13	-9	50	RT20D
20E	1800	-4	-11	-23	-34	-38	-26	-16	-10	50	RT20E
20F	2100	-5	-13	-27	-40	-44	-31	-16	-10	50	RT20F
20G	2400	-5	-14	-29	-43	-48	-33	-19	-12	50	RT20G
22A	600	-1	-3	-7	-9	-14	-9	-7	-5	53	RT22A
22B	900	-2	-4	-10	-16	-18	-12	-8	-7	53	RT22B
22C	1200	-3	-7	-13	-19	-25	-17	-10	-7	53	RT22C
22D	1500	-3	-8	-16	-25	-29	-20	-10	-7	53	RT22D
22E	1800	-4	-9	-21	-30	-34	-22	-11	-7	53	RT22E
22F	2100	-4	-12	-25	-36	-40	-26	-14	-8	53	RT22F
22G	2400	-5	-12	-27	-40	-42	-30	-16	-10	53	RT22G
25A	600	-1	-2	-6	-8	-11	-8	-5	-5	56	RT25A
25B	900	-1	-4	-9	-14	-16	-11	-6	-6	56	RT25B
25C	1200	-2	-6	-12	-16	-22	-15	-8	-6	56	RT25C
25D	1500	-3	-7	-15	-22	-26	-18	-9	-6	56	RT25D
25E	1800	-3	-8	-19	-25	-30	-18	-9	-7	56	RT25E
25F	2100	-4	-10	-23	-31	-36	-24	-11	-7	56	RT25F
25G	2400	-4	-11	-25	-36	-38	-28	-13	-9	56	RT25G
*Rectangular Straight											
07B	900	-6	-12	-23	-36	-45	-43	-36	-28	27	RS07B
07C	1200	-8	-16	-30	-47	-50	-50	-47	-39	27	RS07C
07D	1500	-9	-19	-35	-49	-50	-50	-49	-42	27	RS07D
07E	1800	-10	-21	-41	-50	-50	-50	-50	-45	27	RS07E
07F	2100	-12	-25	-45	-50	-50	-50	-50	-50	27	RS07F
07G	2400	-13	-28	-48	-50	-50	-50	-50	-50	27	RS07G
10B	900	-5	-10	-19	-31	-39	-35	-27	-21	33	RS10B
10C	1200	-6	-13	-26	-41	-48	-46	-37	-26	33	RS10C
10D	1500	-8	-16	-30	-47	-50	-50	-43	-31	33	RS10D
10E	1800	-9	-18	-35	-49	-50	-50	-48	-36	33	RS10E
10F	2100	-10	-20	-40	-50	-50	-50	-50	-37	33	RS10F
10G	2400	-11	-23	-44	-50	-50	-50	-50	-39	33	RS10G
12B	900	-4	-9	-17	-28	-35	-31	-22	-17	38	RS12B
12C	1200	-5	-11	-22	-37	-43	-40	-30	-21	38	RS12C
12D	1500	-6	-13	-26	-43	-47	-44	-34	-24	38	RS12D
12E	1800	-7	-15	-31	-47	-50	-48	-40	-28	38	RS12E
12F	2100	-8	-17	-35	-50	-50	-50	-43	-30	38	RS12F
12G	2400	-9	-20	-39	-50	-50	-50	-45	-32	38	RS12G
15B	900	-4	-8	-15	-25	-31	-28	-18	-13	43	RS15B
15C	1200	-5	-9	-19	-33	-38	-34	-23	-16	43	RS15C
15D	1500	-5	-11	-23	-39	-44	-39	-26	-18	43	RS15D
15E	1800	-6	-13	-27	-45	-49	-46	-32	-21	43	RS15E
15F	2100	-7	-15	-31	-49	-50	-50	-37	-24	43	RS15F
15G	2400	-8	-18	-35	-50	-50	-50	-41	-26	43	RS15G
*Rectangular Tapered Q-seal											
07A	600	-3	-5	-10	-18	-20	-18	-12	-9	27	RT07AQS
07B	900	-4	-7	-14	-25	-28	-25	-17	-13	27	RT07BQS
07C	1200	-5	-10	-20	-32	-38	-32	-22	-16	27	RT07CQS
07D	1500	-7	-13	-26	-40	-48	-38	-27	-20	27	RT07DQS
